2022-03-13 04:43:49,336  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,347  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,359  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,370  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,380  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,391  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,405  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,415  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,423  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,432  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,440  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,449  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,461  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,470  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,478  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,488  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,496  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,505  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,513  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,522  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,534  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,544  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,552  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,562  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,570  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,791  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,857  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,886  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,911  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,931  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:49,965  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,061  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,094  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,117  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,170  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,201  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,214  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,229  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,241  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,273  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,286  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,300  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,318  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,338  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,351  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,364  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,384  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,403  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,423  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,442  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,460  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,486  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,499  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,519  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:50,762  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:43:51,426  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:53:21,380  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 04:57:31,988  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 05:11:35,258  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 05:14:52,021  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 05:25:15,311  |  Dynotest_App  |  INFO  |  background thread dijalankan
2022-03-13 05:27:43,888  |  Dynotest_App  |  INFO  |  background thread dijalankan
